invoice_id,customer_id,issue_date,due_date,currency,amount,status,po_number
INV-0001,C001,2026-06-01,2026-07-01,INR,85000.00,open,PO-A100
INV-0002,C001,2026-08-10,2026-09-09,INR,42000.00,open,PO-A114
INV-0003,C002,2026-05-15,2026-06-14,INR,125000.00,partially_paid,PO-B220
INV-0004,C002,2026-08-20,2026-09-19,INR,76000.00,open,PO-B245
INV-0005,C003,2026-04-01,2026-05-16,INR,210000.00,disputed,PO-C310
INV-0006,C003,2026-07-15,2026-08-29,INR,98000.00,open,PO-C338
INV-0007,C004,2026-05-20,2026-06-19,INR,67000.00,open,
INV-0008,C004,2026-08-15,2026-09-14,INR,54000.00,open,PO-D440
INV-0009,C005,2026-07-01,2026-07-16,INR,36000.00,partially_paid,PO-E502
INV-0010,C005,2026-08-25,2026-09-09,INR,28000.00,paid,PO-E519
INV-0011,C006,2026-06-12,2026-07-12,INR,145000.00,open,PO-F610
INV-0012,C006,2026-08-28,2026-09-27,INR,82000.00,open,PO-F635
INV-0013,C007,2026-05-05,2026-06-04,INR,59000.00,disputed,PO-G702
INV-0014,C007,2026-08-10,2026-09-09,INR,47000.00,open,PO-G718
INV-0015,C008,2026-04-20,2026-06-04,INR,188000.00,partially_paid,PO-H815
INV-0016,C008,2026-07-25,2026-09-08,INR,92000.00,open,PO-H840
INV-0017,C009,2026-06-18,2026-07-18,INR,115000.00,open,
INV-0018,C009,2026-08-22,2026-09-21,INR,63000.00,open,PO-I925
INV-0019,C010,2026-05-10,2026-06-09,INR,74000.00,paid,PO-J101
INV-0020,C010,2026-08-05,2026-09-04,INR,81000.00,open,PO-J118
